,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,강 의 시 간 표,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2025 학년도  2 학기     자연캠퍼스,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
학년,교과목명,한글코드,,,학점,시간,담당교수,,강좌번호,제한인원,시간(강의실),,,,비  고,
,,,,,,,,,,,목13:00-14:50 (Y9501),,,,,
,,,,,,,남수경,, 0044,30 ,월10:00-11:50 (Y9232),,,,,
,,,,,,,,,,,수11:00-11:50 (Y9232),,,,,
,,,,,,,,, 0045,30 ,월12:00-13:50 (Y9232),,,,,
,,,,,,,,,,,수12:00-12:50 (Y9232),,,,,
,,,,,,,구미리내,, 0046,30 ,화10:00-12:50 (Y9428),,,,,
,,,,,,,,, 0047,30 ,화13:00-15:50 (Y9428),,,,,
,영어1,교필106,,,2 ,2 ,엄용희,, 0048,30 ,화10:00-10:50 (Y9522),,,,,
,,,,,,,,,,,목10:00-10:50 (Y9522),,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,2 / 77,,,,,,출력일자 : 2025-07-23,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,강 의 시 간 표,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2025 학년도  2 학기     자연캠퍼스,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
학년,교과목명,한글코드,,,학점,시간,담당교수,,강좌번호,제한인원,시간(강의실),,,,비  고,
전학년,영어1,교필106,,,2 ,2 ,엄용희,, 0049,30 ,화11:00-11:50 (Y9522),,,,,
,,,,,,,,,,,목11:00-11:50 (Y9522),,,,,
,,,,,,,서정아,, 0050,30 ,월13:00-13:50 (Y9524),,,,,
,,,,,,,,,,,수13:00-13:50 (Y9524),,,,,
,,,,,,,,, 0051,30 ,월14:00-14:50 (Y9524),,,,,
,,,,,,,,,,,수14:00-14:50 (Y9524),,,,,
,영어2,교필107,,,2 ,2 ,이보경,, 0052,30 ,화11:00-11:50 (Y9515),,,,,
,,,,,,,,,,,목11:00-11:50 (Y9515),,,,,
,,,,,,,,, 0053,30 ,화12:00-12:50 (Y9515),,,,,
,,,,,,,,,,,목12:00-12:50 (Y9515),,,,,
,,,,,,,,, 0054,30 ,화14:00-14:50 (Y9515),,,,,
,,,,,,,,,,,목14:00-14:50 (Y9515),,,,,
,,,,,,,김희진,, 0055,30 ,화11:00-11:50 (Y9530),,,,,
,,,,,,,,,,,목11:00-11:50 (Y9530),,,,,
,,,,,,,,, 0056,30 ,화12:00-12:50 (Y9530),,,,,
,,,,,,,,,,,목12:00-12:50 (Y9530),,,,,
,,,,,,,,, 0057,30 ,화14:00-14:50 (Y9530),,,,,
,,,,,,,,,,,목14:00-14:50 (Y9530),,,,,
,,,,,,,엄용희,, 0058,30 ,월10:00-10:50 (Y9522),,,,,
,,,,,,,,,,,수10:00-10:50 (Y9522),,,,,
,,,,,,,,, 0059,30 ,월11:00-11:50 (Y9522),,,,,
,,,,,,,,,,,수11:00-11:50 (Y9522),,,,,
,,,,,,,,, 0060,30 ,월13:00-13:50 (Y9522),,,,,
,,,,,,,,,,,수13:00-13:50 (Y9522),,,,,
,,,,,,,,, 0061,30 ,월14:00-14:50 (Y9522),,,,,
,,,,,,,,,,,수14:00-14:50 (Y9522),,,,,
,,,,,,,,, 0062,30 ,화13:00-13:50 (Y9522),,,,,
